Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-EnableVPCFlowLogs/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-EnableVPCFlowLogs/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-EnableVPCFlowLogs/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-EnableVPCFlowLogs/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MemberRoleStack/EnableVPCFlowLogs-remediationrole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MemberRoleStack/EnableVPCFlowLogs-remediationrole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableVPCFlowLogs/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableVPCFlowLogs/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableVPCFlowLogs/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableVPCFlowLogs/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableVPCFlowLogs/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MemberRoleStack/RemediationRole EnableVPCFlowLogs/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableVPCFlowLogs/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-CreateAccessLoggingBucket/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateAccessLoggingBucket/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
